origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min,min_por_km
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,09:00,2026-02-27,24.9,51.0,,,2.0481927710843375
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,13:00,2026-02-27,470.82,168.8,,,0.35852342721209807
"Estación de Atocha, Madrid",Córdoba,TRANSIT,16:00,2026-02-27,344.21,107.1,,,0.31114726475116933
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,00:00 (+1d),2026-02-27,24.99,74.1,,,2.965186074429772
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,05:00,2026-02-27,21.62,45.9,,,2.1230342275670675
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,00:00 (+1d),2026-02-27,23.1,41.2,,,1.7835497835497836
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,07:00,2026-02-27,24.25,60.6,,,2.4989690721649485
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,01:00,2026-02-27,6.48,22.4,,,3.4567901234567895
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,09:00,2026-02-27,21.05,26.0,,,1.2351543942992873
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,02:00,2026-02-27,21.81,24.7,,,1.1325080238422742
"Estación de Atocha, Madrid",Ávila,TRANSIT,10:00,2026-02-27,128.23,126.2,,,0.9841690712001873
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,09:00,2026-02-27,15.7,32.6,,,2.0764331210191083
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,04:00,2026-02-27,17.78,62.3,,,3.5039370078740153
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,14:00,2026-02-27,38.31,108.6,,,2.83476898981989
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,05:00,2026-02-27,43.77,94.3,,,2.1544436828878224
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,13:00,2026-02-27,11.4,23.2,,,2.0350877192982453
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,07:00,2026-02-27,511.59,328.5,,,0.6421157567583416
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,04:00,2026-02-27,5.21,15.6,,,2.9942418426103647
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,07:00,2026-02-27,621.07,195.1,,,0.31413528265734936
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,22:00,2026-02-27,19.15,54.5,,,2.8459530026109663
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,17:00,2026-02-27,24.9,50.3,,,2.0200803212851404
"Estación de Atocha, Madrid",Ávila,TRANSIT,07:00,2026-02-27,128.06,113.2,,,0.8839606434483835
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,23:00,2026-02-27,185.37,211.8,,,1.142579705453957
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,10:00,2026-02-27,14.8,54.9,,,3.709459459459459
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,21:00,2026-02-27,531.08,479.8,,,0.9034420426301122
"Estación de Atocha, Madrid",Ávila,TRANSIT,14:00,2026-02-27,128.24,119.2,,,0.9295071740486587
"Estación de Chamartín, Madrid",Burgos,TRANSIT,20:00,2026-02-27,216.14,203.2,,,0.9401313963172018
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,07:00,2026-02-27,28.81,50.3,,,1.7459215550156195
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,09:00,2026-02-27,322.43,333.1,,,1.0330924541761002
"Estación de Atocha, Madrid",Ávila,TRANSIT,00:00 (+1d),2026-02-27,128.24,117.2,,,0.9139114160948222
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,01:00,2026-02-27,52.61,76.7,,,1.45789773807261
"Móstoles, Madrid","Leganés, Madrid",TRANSIT,05:00,2026-02-27,15.36,41.4,,,2.6953125
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,11:00,2026-02-27,19.98,27.6,,,1.3813813813813813
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,14:00,2026-02-27,39.84,87.7,,,2.201305220883534
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,05:00,2026-02-27,13.32,46.0,,,3.4534534534534536
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,06:00,2026-02-27,13.9,41.0,,,2.949640287769784
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,20:00,2026-02-27,36.47,94.8,,,2.599396764463943
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,00:00 (+1d),2026-02-27,15.65,36.9,,,2.3578274760383384
"Retiro, Madrid","Getafe, Madrid",TRANSIT,02:00,2026-02-27,15.87,48.8,,,3.074984247006931
"Retiro, Madrid","Leganés, Madrid",TRANSIT,03:00,2026-02-27,19.96,45.9,,,2.2995991983967934
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,04:00,2026-02-27,38.31,106.0,,,2.7669015922735576
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,10:00,2026-02-27,243.1,105.5,,,0.4339777869189634
"Estación de Atocha, Madrid",Ávila,TRANSIT,11:00,2026-02-27,128.24,115.2,,,0.8983156581409856
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,14:00,2026-02-27,322.43,323.1,,,1.0020779704121825
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,05:00,2026-02-27,28.54,64.2,,,2.2494744218640506
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,22:00,2026-02-27,30.3,95.2,,,3.1419141914191417
"Estación de Atocha, Madrid",Ávila,TRANSIT,01:00,2026-02-27,128.24,124.2,,,0.9684965689332501
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,23:00,2026-02-27,15.7,43.1,,,2.745222929936306
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,17:00,2026-02-27,407.01,150.2,,,0.3690327018992162
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,22:00,2026-02-27,11.27,38.5,,,3.4161490683229814
"Estación de Atocha, Madrid",Cuenca,TRANSIT,15:00,2026-02-27,211.96,115.6,,,0.5453859218720513
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,07:00,2026-02-27,18.96,23.5,,,1.239451476793249
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,17:00,2026-02-27,24.63,42.5,,,1.7255379618351605
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,21:00,2026-02-27,19.15,45.0,,,2.349869451697128
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,02:00,2026-02-27,11.07,27.4,,,2.4751580849141823
"Estación de Atocha, Madrid",Cuenca,TRANSIT,09:00,2026-02-27,212.02,110.2,,,0.5197622865767381
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,02:00,2026-02-27,28.61,70.7,,,2.47116392869626
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,10:00,2026-02-27,24.25,61.8,,,2.5484536082474225
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,23:00,2026-02-27,20.35,54.5,,,2.6781326781326777
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,00:00 (+1d),2026-02-27,26.67,47.4,,,1.777277840269966
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,21:00,2026-02-27,22.32,55.4,,,2.4820788530465947
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,01:00,2026-02-27,14.64,31.6,,,2.158469945355191
"Retiro, Madrid","Leganés, Madrid",TRANSIT,12:00,2026-02-27,16.03,42.6,,,2.6575171553337493
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,22:00,2026-02-27,62.74,63.3,,,1.0089257252151738
"Moncloa, Madrid","Majadahonda, Madrid",TRANSIT,15:00,2026-02-27,27.35,88.0,,,3.2175502742230346
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,23:00,2026-02-27,6.93,21.9,,,3.16017316017316
"Estación de Atocha, Madrid",Segovia,TRANSIT,01:00,2026-02-27,81.26,81.5,,,1.0029534826482893
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,09:00,2026-02-27,607.34,193.1,,,0.31794382059472454
"Estación de Atocha, Madrid",Ávila,TRANSIT,09:00,2026-02-27,128.06,114.7,,,0.8956739028580353
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,12:00,2026-02-27,48.26,36.6,,,0.7583920430998757
