origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min,min_por_km
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,01:00,2026-02-27,20.96,25.8,20.8,-5.0,0.9923664122137404
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",DRIVE,01:00,2026-02-27,18.03,27.1,21.3,-5.8,1.1813643926788686
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",DRIVE,01:00,2026-02-27,12.59,26.6,20.6,-6.0,1.6362192216044482
"Puerta del Sol, Madrid","Vallecas, Madrid",DRIVE,01:00,2026-02-27,18.78,22.6,18.8,-3.8,1.0010649627263046
"Puerta del Sol, Madrid","Moncloa, Madrid",DRIVE,01:00,2026-02-27,11.92,20.5,16.0,-4.5,1.342281879194631
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",DRIVE,01:00,2026-02-27,6.51,21.9,16.4,-5.5,2.5192012288786483
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",DRIVE,01:00,2026-02-27,4.2,11.9,9.6,-2.3,2.2857142857142856
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",DRIVE,01:00,2026-02-27,10.39,12.8,10.5,-2.3,1.010587102983638
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,01:00,2026-02-27,12.54,16.0,13.3,-2.7,1.0606060606060608
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",DRIVE,01:00,2026-02-27,5.83,17.7,12.1,-5.6,2.0754716981132075
"Retiro, Madrid","Ciudad Universitaria, Madrid",DRIVE,01:00,2026-02-27,8.78,22.4,16.2,-6.2,1.845102505694761
"Retiro, Madrid","Leganés, Madrid",DRIVE,01:00,2026-02-27,14.27,23.3,17.8,-5.5,1.2473721093202523
"Retiro, Madrid","Getafe, Madrid",DRIVE,01:00,2026-02-27,14.99,25.4,19.1,-6.3,1.2741827885256838
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",DRIVE,01:00,2026-02-27,33.74,31.6,26.6,-5.0,0.7883817427385892
"Estación de Atocha, Madrid","Aranjuez, Madrid",DRIVE,01:00,2026-02-27,47.89,43.0,37.7,-5.3,0.787220714136563
"Estación de Atocha, Madrid","Alcobendas, Madrid",DRIVE,01:00,2026-02-27,18.7,19.5,15.9,-3.6,0.8502673796791445
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",DRIVE,01:00,2026-02-27,25.2,27.3,23.0,-4.3,0.9126984126984127
"Estación de Atocha, Madrid","Móstoles, Madrid",DRIVE,01:00,2026-02-27,25.18,30.6,23.9,-6.7,0.949166004765687
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",DRIVE,01:00,2026-02-27,22.96,27.1,22.1,-5.0,0.9625435540069687
"Estación de Atocha, Madrid","Parla, Madrid",DRIVE,01:00,2026-02-27,24.36,29.1,23.9,-5.2,0.9811165845648604
"Estación de Atocha, Madrid","Pinto, Madrid",DRIVE,01:00,2026-02-27,23.85,23.6,19.5,-4.1,0.8176100628930817
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",DRIVE,01:00,2026-02-27,16.68,17.7,15.9,-1.8,0.9532374100719425
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",DRIVE,01:00,2026-02-27,26.62,27.8,24.1,-3.7,0.9053343350864013
"Estación de Chamartín, Madrid","Alcobendas, Madrid",DRIVE,01:00,2026-02-27,9.54,11.8,9.6,-2.2,1.0062893081761006
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",DRIVE,01:00,2026-02-27,17.9,15.8,14.2,-1.6,0.7932960893854749
"Moncloa, Madrid","Majadahonda, Madrid",DRIVE,01:00,2026-02-27,18.27,16.4,15.2,-1.2,0.8319649698960043
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",DRIVE,01:00,2026-02-27,10.63,13.0,11.7,-1.3,1.1006585136406395
"Moncloa, Madrid","Boadilla del Monte, Madrid",DRIVE,01:00,2026-02-27,20.84,19.4,18.2,-1.2,0.873320537428023
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",DRIVE,01:00,2026-02-27,34.15,29.0,27.8,-1.2,0.8140556368960469
"Puerta del Sol, Madrid","Alcorcón, Madrid",DRIVE,01:00,2026-02-27,15.35,25.0,20.0,-5.0,1.3029315960912053
"Puerta del Sol, Madrid","Leganés, Madrid",DRIVE,01:00,2026-02-27,13.68,24.1,18.4,-5.7,1.3450292397660817
"Puerta del Sol, Madrid","Getafe, Madrid",DRIVE,01:00,2026-02-27,14.4,26.2,19.9,-6.3,1.3819444444444444
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",DRIVE,01:00,2026-02-27,30.81,36.5,30.1,-6.4,0.9769555339175593
"Puerta del Sol, Madrid","Coslada, Madrid",DRIVE,01:00,2026-02-27,20.72,28.7,23.1,-5.6,1.114864864864865
"Estación de Atocha, Madrid",Toledo,DRIVE,01:00,2026-02-27,73.34,57.2,52.0,-5.2,0.7090264521407145
"Estación de Atocha, Madrid",Segovia,DRIVE,01:00,2026-02-27,99.76,74.5,69.7,-4.8,0.6986768243785084
"Estación de Atocha, Madrid",Ávila,DRIVE,01:00,2026-02-27,117.1,82.4,75.5,-6.9,0.6447480785653288
"Estación de Atocha, Madrid",Cuenca,DRIVE,01:00,2026-02-27,164.27,98.5,101.6,3.1,0.6184939428988859
"Estación de Chamartín, Madrid",Valladolid,DRIVE,01:00,2026-02-27,208.61,133.7,132.3,-1.4,0.6341977853410671
"Estación de Chamartín, Madrid",Burgos,DRIVE,01:00,2026-02-27,234.65,140.0,147.7,7.7,0.6294481142126571
