origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,16:00,2026-02-27,20.96,25.8,27.2,1.4
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",DRIVE,16:00,2026-02-27,3.71,15.1,15.2,0.1
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",DRIVE,16:00,2026-02-27,18.03,27.1,28.4,1.3
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",DRIVE,16:00,2026-02-27,12.59,26.6,25.2,-1.4
"Puerta del Sol, Madrid","Vallecas, Madrid",DRIVE,16:00,2026-02-27,18.78,22.6,23.9,1.3
"Puerta del Sol, Madrid","Moncloa, Madrid",DRIVE,16:00,2026-02-27,11.92,20.5,20.2,-0.3
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",DRIVE,16:00,2026-02-27,6.51,21.9,22.9,1.0
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",DRIVE,16:00,2026-02-27,4.2,11.9,12.2,0.3
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",DRIVE,16:00,2026-02-27,10.39,12.8,13.4,0.6
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,16:00,2026-02-27,12.54,16.0,16.7,0.7
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",DRIVE,16:00,2026-02-27,5.83,17.7,19.4,1.7
"Retiro, Madrid","Ciudad Universitaria, Madrid",DRIVE,16:00,2026-02-27,8.78,22.4,21.9,-0.5
"Retiro, Madrid","Leganés, Madrid",DRIVE,16:00,2026-02-27,14.27,23.3,25.2,1.9
"Retiro, Madrid","Getafe, Madrid",DRIVE,16:00,2026-02-27,14.99,25.4,26.8,1.4
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",DRIVE,16:00,2026-02-27,33.74,31.6,31.9,0.3
"Estación de Atocha, Madrid","Aranjuez, Madrid",DRIVE,16:00,2026-02-27,47.89,43.0,45.6,2.6
"Estación de Atocha, Madrid","Alcobendas, Madrid",DRIVE,16:00,2026-02-27,18.7,19.5,19.1,-0.4
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",DRIVE,16:00,2026-02-27,25.2,27.3,27.1,-0.2
"Estación de Atocha, Madrid","Móstoles, Madrid",DRIVE,16:00,2026-02-27,25.18,30.6,33.7,3.1
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",DRIVE,16:00,2026-02-27,22.96,27.1,29.8,2.7
"Estación de Atocha, Madrid","Parla, Madrid",DRIVE,16:00,2026-02-27,24.36,29.1,30.9,1.8
"Estación de Atocha, Madrid","Pinto, Madrid",DRIVE,16:00,2026-02-27,23.85,23.6,26.2,2.6
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",DRIVE,16:00,2026-02-27,16.68,17.7,17.8,0.1
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",DRIVE,16:00,2026-02-27,26.62,27.8,29.9,2.1
"Estación de Chamartín, Madrid","Alcobendas, Madrid",DRIVE,16:00,2026-02-27,9.54,11.8,12.4,0.6
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",DRIVE,16:00,2026-02-27,17.9,15.8,17.8,2.0
"Moncloa, Madrid","Majadahonda, Madrid",DRIVE,16:00,2026-02-27,18.27,16.4,18.1,1.7
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",DRIVE,16:00,2026-02-27,10.63,13.0,13.1,0.1
"Moncloa, Madrid","Boadilla del Monte, Madrid",DRIVE,16:00,2026-02-27,20.84,19.4,21.5,2.1
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",DRIVE,16:00,2026-02-27,34.15,29.0,31.0,2.0
"Puerta del Sol, Madrid","Alcorcón, Madrid",DRIVE,16:00,2026-02-27,15.35,25.0,28.4,3.4
"Puerta del Sol, Madrid","Leganés, Madrid",DRIVE,16:00,2026-02-27,13.68,24.1,25.6,1.5
"Puerta del Sol, Madrid","Getafe, Madrid",DRIVE,16:00,2026-02-27,14.4,26.2,26.8,0.6
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",DRIVE,16:00,2026-02-27,30.81,36.5,35.7,-0.8
"Puerta del Sol, Madrid","Coslada, Madrid",DRIVE,16:00,2026-02-27,20.72,28.7,28.8,0.1
"Estación de Atocha, Madrid",Toledo,DRIVE,16:00,2026-02-27,73.34,57.2,61.3,4.1
"Estación de Atocha, Madrid",Segovia,DRIVE,16:00,2026-02-27,99.76,74.5,76.6,2.1
"Estación de Atocha, Madrid",Ávila,DRIVE,16:00,2026-02-27,117.1,82.4,83.1,0.7
"Estación de Atocha, Madrid",Cuenca,DRIVE,16:00,2026-02-27,164.27,98.5,102.0,3.5
"Estación de Chamartín, Madrid",Valladolid,DRIVE,16:00,2026-02-27,208.61,133.7,139.8,6.1
"Estación de Chamartín, Madrid",Burgos,DRIVE,16:00,2026-02-27,234.65,140.0,144.4,4.4
"Estación de Chamartín, Madrid",Salamanca,DRIVE,16:00,2026-02-27,214.75,133.4,139.8,6.4
"Estación de Atocha, Madrid",Córdoba,DRIVE,16:00,2026-02-27,392.87,238.5,242.2,3.7
"Estación de Atocha, Madrid",Ciudad Real,DRIVE,16:00,2026-02-27,190.37,134.3,148.6,14.3
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",DRIVE,16:00,2026-02-27,613.8,366.8,358.0,-8.8
"Estación de Atocha, Madrid","Valencia, España",DRIVE,16:00,2026-02-27,355.0,215.0,216.3,1.3
"Estación de Atocha, Madrid","Sevilla, España",DRIVE,16:00,2026-02-27,534.39,307.4,304.1,-3.3
"Estación de Atocha, Madrid","Zaragoza, España",DRIVE,16:00,2026-02-27,314.08,193.5,193.7,0.2
"Estación de Atocha, Madrid","Málaga, España",DRIVE,16:00,2026-02-27,533.33,316.2,317.2,1.0
"Estación de Chamartín, Madrid","Bilbao, España",DRIVE,16:00,2026-02-27,387.98,233.3,233.9,0.6
"Estación de Chamartín, Madrid","San Sebastián, España",DRIVE,16:00,2026-02-27,442.83,268.6,269.8,1.2
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",DRIVE,16:00,2026-02-27,14.38,18.7,19.6,0.9
"Móstoles, Madrid","Alcorcón, Madrid",DRIVE,16:00,2026-02-27,8.93,15.5,17.7,2.2
"Móstoles, Madrid","Leganés, Madrid",DRIVE,16:00,2026-02-27,11.77,22.1,22.6,0.5
"Móstoles, Madrid","Fuenlabrada, Madrid",DRIVE,16:00,2026-02-27,9.98,18.0,19.0,1.0
"Getafe, Madrid","Parla, Madrid",DRIVE,16:00,2026-02-27,10.84,15.5,17.4,1.9
"Getafe, Madrid","Leganés, Madrid",DRIVE,16:00,2026-02-27,4.77,12.6,13.6,1.0
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",DRIVE,16:00,2026-02-27,3.12,7.1,6.1,-1.0
"Tres Cantos, Madrid","Alcobendas, Madrid",DRIVE,16:00,2026-02-27,17.22,15.6,16.0,0.4
"Aranjuez, Madrid","Valdemoro, Madrid",DRIVE,16:00,2026-02-27,22.01,21.4,21.4,0.0
"Aranjuez, Madrid","Ocaña, Toledo",DRIVE,16:00,2026-02-27,16.03,17.0,16.8,-0.2
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,16:00,2026-02-27,15.75,32.6,,
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",TRANSIT,16:00,2026-02-27,2.49,11.2,,
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,16:00,2026-02-27,7.19,21.9,,
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,16:00,2026-02-27,6.48,22.4,,
"Puerta del Sol, Madrid","Vallecas, Madrid",TRANSIT,16:00,2026-02-27,11.23,40.0,,
"Puerta del Sol, Madrid","Moncloa, Madrid",TRANSIT,16:00,2026-02-27,10.55,62.5,,
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,16:00,2026-02-27,4.45,18.2,,
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",TRANSIT,16:00,2026-02-27,4.56,27.5,,
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,16:00,2026-02-27,14.73,45.2,,
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,16:00,2026-02-27,12.29,20.7,,
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,16:00,2026-02-27,5.48,17.6,,
"Retiro, Madrid","Ciudad Universitaria, Madrid",TRANSIT,16:00,2026-02-27,7.69,42.6,,
"Retiro, Madrid","Leganés, Madrid",TRANSIT,16:00,2026-02-27,16.96,40.6,,
"Retiro, Madrid","Getafe, Madrid",TRANSIT,16:00,2026-02-27,15.68,39.4,,
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",TRANSIT,16:00,2026-02-27,33.21,42.2,,
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,16:00,2026-02-27,48.17,48.6,,
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,16:00,2026-02-27,24.9,54.3,,
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,16:00,2026-02-27,24.25,62.6,,
"Estación de Atocha, Madrid","Móstoles, Madrid",TRANSIT,16:00,2026-02-27,19.76,38.5,,
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,16:00,2026-02-27,21.62,45.9,,
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,16:00,2026-02-27,21.86,41.4,,
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,16:00,2026-02-27,20.65,26.6,,
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,16:00,2026-02-27,15.34,24.5,,
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,16:00,2026-02-27,22.64,33.5,,
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,16:00,2026-02-27,13.63,37.0,,
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,16:00,2026-02-27,22.68,65.6,,
"Moncloa, Madrid","Majadahonda, Madrid",TRANSIT,16:00,2026-02-27,14.83,78.6,,
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",TRANSIT,16:00,2026-02-27,5.91,48.2,,
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,16:00,2026-02-27,36.47,99.1,,
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,16:00,2026-02-27,44.4,94.2,,
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,16:00,2026-02-27,15.82,40.9,,
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,16:00,2026-02-27,16.67,35.5,,
"Puerta del Sol, Madrid","Getafe, Madrid",TRANSIT,16:00,2026-02-27,14.43,25.5,,
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,16:00,2026-02-27,24.63,43.5,,
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,16:00,2026-02-27,16.55,34.5,,
"Estación de Atocha, Madrid",Toledo,TRANSIT,16:00,2026-02-27,83.76,51.7,,
"Estación de Atocha, Madrid",Segovia,TRANSIT,16:00,2026-02-27,81.26,81.5,,
"Estación de Atocha, Madrid",Ávila,TRANSIT,16:00,2026-02-27,128.24,129.2,,
"Estación de Atocha, Madrid",Cuenca,TRANSIT,16:00,2026-02-27,196.47,108.1,,
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,16:00,2026-02-27,179.23,72.5,,
"Estación de Chamartín, Madrid",Burgos,TRANSIT,16:00,2026-02-27,303.97,120.5,,
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,16:00,2026-02-27,243.31,149.5,,
"Estación de Atocha, Madrid",Córdoba,TRANSIT,16:00,2026-02-27,344.21,107.1,,
"Estación de Atocha, Madrid",Ciudad Real,TRANSIT,16:00,2026-02-27,171.32,63.0,,
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,16:00,2026-02-27,602.48,168.1,,
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,16:00,2026-02-27,406.67,139.2,,
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,16:00,2026-02-27,470.86,178.1,,
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,16:00,2026-02-27,306.53,98.6,,
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,16:00,2026-02-27,536.46,164.1,,
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,16:00,2026-02-27,483.63,299.5,,
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,16:00,2026-02-27,549.77,323.5,,
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,16:00,2026-02-27,10.37,9.0,,
"Móstoles, Madrid","Alcorcón, Madrid",TRANSIT,16:00,2026-02-27,8.38,23.7,,
"Móstoles, Madrid","Leganés, Madrid",TRANSIT,16:00,2026-02-27,13.27,26.2,,
"Móstoles, Madrid","Fuenlabrada, Madrid",TRANSIT,16:00,2026-02-27,10.65,46.2,,
"Getafe, Madrid","Parla, Madrid",TRANSIT,16:00,2026-02-27,9.03,20.8,,
"Getafe, Madrid","Leganés, Madrid",TRANSIT,16:00,2026-02-27,10.91,16.1,,
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,16:00,2026-02-27,12.26,31.0,,
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,16:00,2026-02-27,28.81,43.3,,
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,16:00,2026-02-27,21.05,31.0,,
"Aranjuez, Madrid","Ocaña, Toledo",TRANSIT,16:00,2026-02-27,16.96,15.0,,
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,17:00,2026-02-27,20.96,25.8,28.1,2.3
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",DRIVE,17:00,2026-02-27,3.71,15.1,16.1,1.0
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",DRIVE,17:00,2026-02-27,18.03,27.1,29.2,2.1
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",DRIVE,17:00,2026-02-27,12.59,26.6,26.2,-0.4
"Puerta del Sol, Madrid","Vallecas, Madrid",DRIVE,17:00,2026-02-27,18.78,22.6,24.8,2.2
"Puerta del Sol, Madrid","Moncloa, Madrid",DRIVE,17:00,2026-02-27,11.92,20.5,20.9,0.4
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",DRIVE,17:00,2026-02-27,6.51,21.9,23.5,1.6
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",DRIVE,17:00,2026-02-27,4.2,11.9,12.0,0.1
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",DRIVE,17:00,2026-02-27,10.39,12.8,13.6,0.8
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,17:00,2026-02-27,12.54,16.0,17.7,1.7
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",DRIVE,17:00,2026-02-27,5.83,17.7,20.7,3.0
"Retiro, Madrid","Ciudad Universitaria, Madrid",DRIVE,17:00,2026-02-27,8.78,22.4,22.5,0.1
"Retiro, Madrid","Leganés, Madrid",DRIVE,17:00,2026-02-27,14.27,23.3,26.3,3.0
"Retiro, Madrid","Getafe, Madrid",DRIVE,17:00,2026-02-27,14.99,25.4,27.5,2.1
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",DRIVE,17:00,2026-02-27,33.74,31.6,33.1,1.5
"Estación de Atocha, Madrid","Aranjuez, Madrid",DRIVE,17:00,2026-02-27,47.89,43.0,46.2,3.2
"Estación de Atocha, Madrid","Alcobendas, Madrid",DRIVE,17:00,2026-02-27,18.7,19.5,19.6,0.1
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",DRIVE,17:00,2026-02-27,25.2,27.3,28.1,0.8
"Estación de Atocha, Madrid","Móstoles, Madrid",DRIVE,17:00,2026-02-27,25.18,30.6,34.3,3.7
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",DRIVE,17:00,2026-02-27,22.96,27.1,30.2,3.1
"Estación de Atocha, Madrid","Parla, Madrid",DRIVE,17:00,2026-02-27,24.36,29.1,31.6,2.5
"Estación de Atocha, Madrid","Pinto, Madrid",DRIVE,17:00,2026-02-27,23.85,23.6,26.5,2.9
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",DRIVE,17:00,2026-02-27,16.68,17.7,18.1,0.4
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",DRIVE,17:00,2026-02-27,26.62,27.8,31.3,3.5
"Estación de Chamartín, Madrid","Alcobendas, Madrid",DRIVE,17:00,2026-02-27,9.54,11.8,12.7,0.9
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",DRIVE,17:00,2026-02-27,17.9,15.8,18.7,2.9
"Moncloa, Madrid","Majadahonda, Madrid",DRIVE,17:00,2026-02-27,18.27,16.4,19.0,2.6
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",DRIVE,17:00,2026-02-27,10.63,13.0,13.3,0.3
