origen,destino,distancia_drive,tiempo_privado,n_drive,distancia_publico,tiempo_publico,n_publico,distancia_km,peso,trayecto,trayecto_id
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",4.2,9.777777777777779,18,4.51864406779661,23.81016949152542,59,4.359322033898305,38.5,"Gran Vía, Madrid → Estadio Santiago Bernabéu, Madrid",1
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",6.51,15.9,10,4.50514705882353,19.341176470588238,68,5.507573529411765,39.0,"Puerta del Sol, Madrid → Cuatro Caminos, Madrid",2
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",5.83,13.275,16,5.666216216216216,19.59189189189189,74,5.748108108108108,45.0,"Nuevos Ministerios, Madrid → Estación de Atocha, Madrid",3
"Getafe, Madrid","Leganés, Madrid",4.77,10.408333333333333,24,10.919857142857143,19.618571428571432,70,7.8449285714285715,47.0,"Getafe, Madrid → Leganés, Madrid",4
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",3.12,5.743478260869565,46,12.597777777777777,30.6,54,7.858888888888888,50.0,"Las Rozas de Madrid, Madrid → Majadahonda, Madrid",5
"Móstoles, Madrid","Alcorcón, Madrid",8.93,15.402127659574468,47,8.410422535211268,26.628169014084506,71,8.670211267605634,59.0,"Móstoles, Madrid → Alcorcón, Madrid",6
"Retiro, Madrid","Ciudad Universitaria, Madrid",8.78,19.472093023255812,43,9.186716417910448,48.002985074626864,67,8.983358208955224,55.0,"Retiro, Madrid → Ciudad Universitaria, Madrid",7
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",12.59,24.365957446808512,47,6.846216216216217,25.937837837837836,74,9.718108108108108,60.5,"Puerta del Sol, Madrid → Plaza de Castilla, Madrid",8
"Getafe, Madrid","Parla, Madrid",10.84,15.378260869565217,46,9.39257142857143,20.995714285714286,70,10.116285714285715,58.0,"Getafe, Madrid → Parla, Madrid",9
"Estación de Chamartín, Madrid","Alcobendas, Madrid",9.54,11.365957446808512,47,12.540135135135136,35.26486486486486,74,11.040067567567569,60.5,"Estación de Chamartín, Madrid → Alcobendas, Madrid",10
"Puerta del Sol, Madrid","Moncloa, Madrid",11.92,19.357446808510637,47,11.205,62.417647058823526,34,11.5625,40.5,"Puerta del Sol, Madrid → Moncloa, Madrid",11
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",10.39,12.51063829787234,47,13.91391891891892,45.51081081081081,74,12.15195945945946,60.5,"Gran Vía, Madrid → Estadio Cívitas Metropolitano, Madrid",12
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",14.38,18.472340425531915,47,10.51364864864865,12.913513513513514,74,12.446824324324325,60.5,"Alcalá de Henares, Madrid → Torrejón de Ardoz, Madrid",13
