origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,01:00,2026-02-27,14.42,41.9,,
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",TRANSIT,01:00,2026-02-27,2.49,11.2,,
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,01:00,2026-02-27,8.06,28.4,,
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,01:00,2026-02-27,6.48,22.4,,
"Puerta del Sol, Madrid","Vallecas, Madrid",TRANSIT,01:00,2026-02-27,11.23,40.0,,
"Puerta del Sol, Madrid","Moncloa, Madrid",TRANSIT,01:00,2026-02-27,6.61,55.0,,
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,01:00,2026-02-27,4.45,18.2,,
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",TRANSIT,01:00,2026-02-27,4.4,21.4,,
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,01:00,2026-02-27,11.01,46.4,,
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,01:00,2026-02-27,12.43,39.2,,
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,01:00,2026-02-27,5.79,34.7,,
"Retiro, Madrid","Ciudad Universitaria, Madrid",TRANSIT,01:00,2026-02-27,11.34,59.3,,
"Retiro, Madrid","Leganés, Madrid",TRANSIT,01:00,2026-02-27,14.7,43.7,,
"Retiro, Madrid","Getafe, Madrid",TRANSIT,01:00,2026-02-27,15.87,38.8,,
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",TRANSIT,01:00,2026-02-27,33.79,88.1,,
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,01:00,2026-02-27,52.61,76.7,,
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,01:00,2026-02-27,19.44,63.0,,
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,01:00,2026-02-27,22.5,117.0,,
"Estación de Atocha, Madrid","Móstoles, Madrid",TRANSIT,01:00,2026-02-27,27.76,62.3,,
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,01:00,2026-02-27,19.74,34.4,,
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,01:00,2026-02-27,22.38,48.8,,
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,01:00,2026-02-27,20.49,29.4,,
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,01:00,2026-02-27,15.65,31.7,,
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,01:00,2026-02-27,26.67,39.7,,
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,01:00,2026-02-27,10.62,24.4,,
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,01:00,2026-02-27,22.46,90.8,,
"Moncloa, Madrid","Majadahonda, Madrid",TRANSIT,01:00,2026-02-27,26.2,120.8,,
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",TRANSIT,01:00,2026-02-27,34.26,85.8,,
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,01:00,2026-02-27,30.3,90.2,,
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,01:00,2026-02-27,42.93,125.9,,
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,01:00,2026-02-27,21.73,48.5,,
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,01:00,2026-02-27,14.64,31.6,,
"Puerta del Sol, Madrid","Getafe, Madrid",TRANSIT,01:00,2026-02-27,14.76,27.6,,
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,01:00,2026-02-27,22.04,62.4,,
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,01:00,2026-02-27,19.46,69.1,,
"Estación de Atocha, Madrid",Toledo,TRANSIT,01:00,2026-02-27,68.33,95.3,,
"Estación de Atocha, Madrid",Segovia,TRANSIT,01:00,2026-02-27,81.26,81.5,,
"Estación de Atocha, Madrid",Ávila,TRANSIT,01:00,2026-02-27,128.24,124.2,,
"Estación de Atocha, Madrid",Cuenca,TRANSIT,01:00,2026-02-27,212.01,117.2,,
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,01:00,2026-02-27,179.23,73.5,,
"Estación de Chamartín, Madrid",Burgos,TRANSIT,01:00,2026-02-27,303.97,121.5,,
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,01:00,2026-02-27,298.92,179.6,,
"Estación de Atocha, Madrid",Córdoba,TRANSIT,01:00,2026-02-27,344.2,118.1,,
"Estación de Atocha, Madrid",Ciudad Real,TRANSIT,01:00,2026-02-27,171.32,63.0,,
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,01:00,2026-02-27,625.94,209.8,,
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,01:00,2026-02-27,407.01,154.2,,
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,01:00,2026-02-27,470.82,173.1,,
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,01:00,2026-02-27,306.53,98.6,,
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,01:00,2026-02-27,509.78,195.1,,
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,01:00,2026-02-27,483.63,295.5,,
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,01:00,2026-02-27,549.77,338.5,,
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,01:00,2026-02-27,10.88,25.8,,
"Móstoles, Madrid","Alcorcón, Madrid",TRANSIT,01:00,2026-02-27,8.41,27.3,,
"Móstoles, Madrid","Leganés, Madrid",TRANSIT,01:00,2026-02-27,13.27,26.2,,
"Móstoles, Madrid","Fuenlabrada, Madrid",TRANSIT,01:00,2026-02-27,32.85,68.3,,
"Getafe, Madrid","Parla, Madrid",TRANSIT,01:00,2026-02-27,9.09,25.8,,
"Getafe, Madrid","Leganés, Madrid",TRANSIT,01:00,2026-02-27,10.91,16.1,,
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,01:00,2026-02-27,3.1,45.1,,
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,01:00,2026-02-27,28.04,79.1,,
"Aranjuez, Madrid","Ocaña, Toledo",TRANSIT,01:00,2026-02-27,109.55,75.0,,
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,02:00,2026-02-27,15.54,49.5,,
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",TRANSIT,02:00,2026-02-27,2.17,15.2,,
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,02:00,2026-02-27,9.66,53.5,,
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,02:00,2026-02-27,8.59,45.7,,
"Puerta del Sol, Madrid","Vallecas, Madrid",TRANSIT,02:00,2026-02-27,15.29,77.1,,
"Puerta del Sol, Madrid","Moncloa, Madrid",TRANSIT,02:00,2026-02-27,6.61,55.0,,
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,02:00,2026-02-27,7.09,47.3,,
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",TRANSIT,02:00,2026-02-27,4.4,21.4,,
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,02:00,2026-02-27,11.01,46.4,,
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,02:00,2026-02-27,15.73,51.6,,
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,02:00,2026-02-27,5.79,34.7,,
"Retiro, Madrid","Ciudad Universitaria, Madrid",TRANSIT,02:00,2026-02-27,11.62,55.7,,
"Retiro, Madrid","Leganés, Madrid",TRANSIT,02:00,2026-02-27,21.73,57.9,,
